mae,rmse,mape,smape,precision,recall,h,n_predictions
89976.72916780712,105028.66173757167,9.365512553310612,9.424981089695747,0.85,0.7727272727272727,1,43
92185.52842585668,106745.67398921686,9.591738287587189,9.665773535819165,0.85,0.6538461538461539,2,43
93130.53045340699,108462.96125706541,9.557329166845802,9.711729935024485,0.85,0.68,3,43
91162.08679564824,107934.68287720096,9.261689485544764,9.476551644513936,0.8,0.6956521739130435,4,43
89081.00737537631,107898.82571763992,9.019204370146657,9.25402575236544,0.9,0.72,5,43
88290.88505423047,107784.62075101865,8.942712563316654,9.178265809163605,0.7894736842105263,0.6818181818181818,6,43
