model_name,params_json,mae,rmse,mape,smape,precision,recall,n_predictions,n_cutoffs,event_threshold_pct
linear_trend,{},91223.50669979368,108511.47083007511,9.65030896646853,9.820785656572761,0.8492063492063492,0.7379310344827587,258.0,43.0,0.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 400}",91746.45960459449,110234.12840111906,9.876912859118463,9.853138546010811,0.8473282442748091,0.7655172413793103,258.0,43.0,0.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 400}",91791.73199737954,110247.93682947615,9.881897653282143,9.85794320387072,0.8473282442748091,0.7655172413793103,258.0,43.0,0.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 400}",91894.07380695915,109587.76539547555,9.875203790258144,9.870585919058437,0.84375,0.7448275862068966,258.0,43.0,0.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 400}",92022.13932674078,110367.7550938026,9.908668215201576,9.882157467951938,0.8473282442748091,0.7655172413793103,258.0,43.0,0.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 400}",92138.55667655026,110142.33979643887,9.905762559176573,9.897482294673804,0.8461538461538461,0.7586206896551724,258.0,43.0,0.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 400}",92340.85022969391,110275.79773637022,9.928792321324943,9.918737185484144,0.8461538461538461,0.7586206896551724,258.0,43.0,0.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 200}",92552.36129459538,111229.09130970029,9.961751560611892,9.939772765179825,0.8538461538461538,0.7655172413793103,258.0,43.0,0.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 200}",92579.97433134964,111228.82380695324,9.964577634958644,9.942760863202382,0.8473282442748091,0.7655172413793103,258.0,43.0,0.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 200}",92900.05623005636,111528.73400917978,10.000809661217419,9.976135076979052,0.8461538461538461,0.7586206896551724,258.0,43.0,0.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 200}",93465.91104404909,111232.98343321959,10.043351211163976,10.0380010193427,0.8384615384615385,0.7517241379310344,258.0,43.0,0.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",93742.85471860463,111658.26351736314,10.079314014043044,10.068075925345276,0.8396946564885496,0.7586206896551724,258.0,43.0,0.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",93779.50650639148,111635.19126413963,10.083207093845619,10.071851352996337,0.8409090909090909,0.7655172413793103,258.0,43.0,0.0
ridge,"{""alpha"": 20.0}",94607.4717324622,115997.46177568288,10.01678068279749,10.180059415292607,0.8620689655172413,0.6896551724137931,258.0,43.0,0.0
ridge,"{""alpha"": 10.0}",100569.85150112421,125488.48633098851,10.619156519391508,10.860772515932602,0.8672566371681416,0.6758620689655173,258.0,43.0,0.0
ridge,"{""alpha"": 5.0}",108998.84505900009,136541.91401282992,11.517863654847801,11.869676596751981,0.8431372549019608,0.593103448275862,258.0,43.0,0.0
ridge,"{""alpha"": 1.0}",125373.91174298464,159721.65156581093,13.26333142166331,13.925567791037729,0.8444444444444444,0.5241379310344828,258.0,43.0,0.0
ridge,"{""alpha"": 0.1}",139399.17780464224,178800.99971050146,14.812147718736629,15.702748520193913,0.8313253012048193,0.47586206896551725,258.0,43.0,0.0
