model_name,params_json,mae,rmse,mape,smape,n_predictions,n_cutoffs
linear_trend,{},90637.79454538763,107315.30606576864,9.289697737791947,9.451887961097063,258.0,43.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 400}",92046.39521732366,109362.36485660121,9.60274439515981,9.582522092475141,258.0,43.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 400}",92083.7691573814,109564.25837176331,9.606655003029354,9.586214932988048,258.0,43.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 400}",92089.02810753076,109568.58996964467,9.607112769264152,9.586730352466075,258.0,43.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 400}",92453.12866277137,109525.22917596663,9.644900669341819,9.627052767954709,258.0,43.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 400}",92535.02729915759,109602.64685559808,9.653642624842195,9.635493145371004,258.0,43.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 400}",92707.10143870051,109698.07209154988,9.667591222036595,9.653186567914688,258.0,43.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 200}",92953.54030558879,110250.1298920191,9.68207254501773,9.678783637436382,258.0,43.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",92988.06634577525,110058.16840080355,9.694303053046156,9.684154627532296,258.0,43.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 200}",93095.844480854,110625.75540480307,9.701213424909454,9.693128972336675,258.0,43.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 200}",93125.2171217815,110625.24479084587,9.70418230779887,9.696088683031785,258.0,43.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",93141.08598754166,110126.89236260754,9.711664554878121,9.700242003423657,258.0,43.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 200}",93287.2131452745,110294.11655062526,9.712578670194327,9.715369106649913,258.0,43.0
ridge,"{""alpha"": 20.0}",95298.32316439689,115255.12448969379,9.782609484215163,9.942564350928834,258.0,43.0
ridge,"{""alpha"": 10.0}",100156.5455342016,124248.53017715446,10.233198016492757,10.471222769669707,258.0,43.0
ridge,"{""alpha"": 5.0}",107957.1669692521,134801.62731183853,11.032185915736683,11.369062761787669,258.0,43.0
ridge,"{""alpha"": 1.0}",123469.24744423735,157771.17651855576,12.660120553177975,13.300236229175704,258.0,43.0
ridge,"{""alpha"": 0.1}",147017.97783689274,205991.6672235291,15.26230684459476,16.517499124384553,258.0,43.0
