mae,rmse,mape,smape,precision,recall,h,n_predictions
89938.41863638838,105395.26881648041,9.649530946684957,9.722384129731292,0.8571428571428571,0.782608695652174,1,43
92125.10487076758,107503.12813236337,9.883061648976913,9.969165655341353,0.9047619047619048,0.7037037037037037,2,43
92229.76142429699,108824.65169982173,9.766989053378165,9.928281372515924,0.8571428571428571,0.72,3,43
91646.69879654213,109339.05451816758,9.620679029657248,9.837492067443014,0.7619047619047619,0.6956521739130435,4,43
89388.20806523139,109560.40450184561,9.340091385774906,9.579875220150809,0.9047619047619048,0.76,5,43
92012.84840553554,110372.25497367339,9.641501734338991,9.887515494254174,0.8095238095238095,0.7727272727272727,6,43
